"","Chromosome","newSeg","dna_CNA","start","end","segLen","chr"
"1","chr1",0,2,1039596,248337884,247.298288,1
"2","chr2",0,2,239258,241872428,241.63317,2
"3","chr3",0,1,233206,74718184,74.484978,3
"4","chr3",1,2,74941606,197605859,122.664253,3
"5","chr4",0,2,273362,189437983,189.164621,4
"6","chr5",0,2,277208,84223006,83.945798,5
"7","chr5",1,3,84223006,181049896,96.82689,5
"8","chr6",0,2,367407,170391790,170.024383,6
"9","chr7",0,3,268619,159104981,158.836362,7
"10","chr8",0,2,484578,144823725,144.339147,8
"11","chr9",0,2,396778,137929763,137.532985,9
"12","chr10",0,2,289122,85659379,85.370257,10
"13","chr10",1,1,85659379,88415020,2.755641,10
"14","chr10",2,2,88415020,88842795,0.427775,10
"15","chr10",3,1,89052608,133375722,44.323114,10
"16","chr11",0,2,425368,134842229,134.416861,11
"17","chr12",0,2,269467,133024187,132.75472,12
"18","chr13",0,2,19530544,114114867,94.584323,13
"19","chr14",0,2,19826305,105472760,85.646455,14
"20","chr15",0,2,22855572,101622163,78.766591,15
"21","chr16",0,2,520569,89858355,89.337786,16
"22","chr17",0,2,374422,82983511,82.609089,17
"23","chr18",0,2,324382,13993142,13.66876,18
"24","chr18",1,1,21105810,22483049,1.377239,18
"25","chr18",2,2,22708838,80038176,57.329338,18
"26","chr19",0,2,501928,58342230,57.840302,19
"27","chr20",0,2,296193,40870470,40.574277,20
"28","chr20",1,3,40870470,64070457,23.199987,20
"29","chr21",0,2,14423085,46456912,32.033827,21
"30","chr22",0,2,17061844,50525535,33.463691,22
